PDB,BA,BC1,AC1,BC2,AC2,dc
5isz_fv,123.5839997211752,116.22385812832557,70.65113289261906,29.59812404677938,160.31491834312314,16.487116046780354
7rrg_fv,119.40602697438615,115.94059485472101,75.91471058228322,26.848375116633214,165.91470053813845,15.671947121580542
7amr_fv,120.33631544763541,105.39939396819706,64.06865800433872,21.572191856451393,153.4947037044755,16.523484069323295
7dzm_fv,118.46015309537637,111.59565610380172,73.67707653321953,22.753560610859385,163.23444939403151,16.120791230874875
7n5p_fv,116.75789735199196,108.22782313842792,73.5834624649436,19.03595483051992,161.8749979112208,17.69896913739596
6vqo_fv,122.74448223049951,121.08018635258018,75.73838489033282,32.76436487172859,164.4434514661683,14.59033023387767
4e41_fv,122.75799842094216,114.00488180387767,69.6316907657119,27.570585536256353,159.57280143600326,17.027886216610774
4jry_fv,120.51627517401417,109.59904833152798,68.45932342198249,23.13491580188461,158.23632691374345,15.337895236965755
6dfx_fv,122.87411774849674,127.70588462938832,80.43117053770867,38.679293370825135,165.27531883284286,16.769017981144277
6tmo_fv,116.09723033565874,96.80971710187012,60.503093104523984,16.18005005962525,147.4049651550279,15.391292519580293
8pjg_fv,127.69033407444904,119.2472669358452,68.89953248711782,34.47369788369721,157.14364318560976,16.608194226703244
7nmg_fv,124.50947908843112,116.27021855744627,69.59112766847886,30.315774744958713,159.11844304921559,15.731999085493953
3mff_fv,123.9056209379776,122.43173302923933,75.52207781845586,34.440434707077685,163.45458596438263,15.673171272185472
7phr_fv,120.2203528406207,110.3734174482707,69.70482455042115,23.268965745853357,159.4928938176261,16.28044990463835
7su9_fv,122.20494855090989,117.51252383509167,73.47815117817876,29.609539713666102,163.14442132682407,15.187883394527072
8d5q_fv,126.10957362819305,126.92027692184193,76.82149018060792,39.18334539115671,161.70637088974206,15.520286994314795
4x6c_fv,121.62780563938576,119.38500898699925,75.72114800171751,30.81436548323435,165.12196222744964,14.526603737063448
2f53_fv,117.24708352829316,109.8746824587117,74.20869103024162,20.651743557649358,163.06483452995957,15.514376523867389
5men_fv,118.49804076456358,110.1620802269624,72.28753958092022,21.702576797106172,161.66947628563855,16.185325616367667
5brz_fv,115.32757271981146,112.21612365280464,79.66717729876956,22.220336257963744,167.92270526237323,16.096043600736913
4zdh_fv,125.65678051351395,117.83029164259591,69.7257756684301,32.13171012933885,158.76643930983212,15.129668374496857
3vxr_fv,119.7695489830431,110.1574519407093,70.19742048153209,22.738952235251794,159.890434877725,15.094193547106114
4may_fv,122.35860995086364,117.26246684535751,73.07400530501361,29.511359132000774,162.7565519481439,15.485422526239196
7sg0_fv,128.17716396284484,119.47317773040348,68.62745716499771,34.961276423223055,156.69094570417124,15.468036055401596
4p2o_fv,121.61790297580752,111.0813294295896,68.33237373254737,24.94582147234312,158.29858618227863,15.038513248502712
6ovn_fv,129.01214399651465,112.63950803093215,61.02559221357275,32.85656922200646,150.35161011326392,14.633674834314007
6ovo_fv,118.33471848590446,105.82168628460205,68.07287378085381,19.062513761597003,156.84897203410665,15.53477722251515
